,Unnamed: 0,0,sentiment
5,5,kia jackson thats girl,negative
15,15,dont cut first draft pickunless person really horrible playing casethis difference nba wnba,negative
16,16,worst advice ever,negative
18,18,hate say yeah,negative
28,28,this piss let go rookie arent perfect veteran make mistake arent waived cut,negative
35,35,dang crazy hell even chance compete,negative
37,37,so pissed retired early prime u200d,negative
41,41,it shame monica make team,negative
42,42,yall need beat lsu playing yall as next season damn jr college basketball player gon na make difference yall trouble,negative
45,45,pay attention,negative
51,51,when u solid mid range stop pop,negative
56,56,queen hard court arrived geaux tiger,negative
59,59,she look little heavy doesnt alot lift shot drop pound order get quicker,negative
64,64,iowa scared shoot damn ball completely lost remember that clark worst defensive guard country raven scared look iowa,negative
65,65,cmon stop stupid interpretationhello bromutual respectnothing more,negative
72,72,these young folk need realize thangs another level separate yourself street aint playing fair know everything cant tell nothing,negative
76,76,goat bad,negative
78,78,he need stop listening yb,negative
79,79,this first year bought ticket wnba game wanted see recent star ncaa tournament majority cut it disappointing dont want go game,negative
81,81,hollyweird smh,negative
89,89,the way wnba set crazy many lady cut already getting paid shit 12 playes per team low contract smh,negative
90,90,the title wrong thats son,negative
99,99,this cutting crap b need team,negative
100,100,shoot corner,negative
102,102,she bad,negative
103,103,hater gon na hate,negative
107,107,misleading title,negative
109,109,stop it,negative
111,111,uconn player seem problem staying wnba maybe mulkey prepare girl nxt level,negative
115,115,anyone want know cut mean one saying anything saw,negative
119,119,the wnba failing cut young lady,negative
123,123,she got four 8 year shit crazy saw coming four year college still wasnt ready,negative
128,128,this big truck come on mane hate pussy nigga,negative
142,142,got grade aint nothing lacking young lady 40 gpa seriously,negative
143,143,brittney i pray god almighty silent gossiping enemy,negative
145,145,caitlin clark never good,negative
148,148,this football game maybe south carolina spring game prior cut mention cut,negative
153,153,this isnt kim mulkeys son wont ever trust video account ever again ni reported misinformation,negative
154,154,nba rant nigga,negative
157,157,she dis coach speech cut never click post again,negative
158,158,mane cold af wrong cutin her,negative
165,165,this nigga lame hell man idc much money u got dont ungoofy u,negative
173,173,man lsu stacked going next season returning player adding no2 arguably no1 player nation plus no 7 player addition morrow van lith theyll run back sure,negative
177,177,the wnba need team bump salary american woman go overseas support league come far it heartbreaking seeing lot woman without job,negative
187,187,this obviously sun coach got cut know anything wbb,negative
190,190,im pissed zero chance making team knew it alexis never went wnba need get shit together college ball popular wnba wnba telling college fan fuck cut top rookie,negative
195,195,i dont think shes greatest candace parker far skill play position everyone opinion,negative
197,197,the wnba need developmental league expansion desperately needed,negative
198,198,i want play wnba player bad see level actually at id say average good men h team leveli know id beat chick small slow two wnba player know would trouble stewart delle donne,negative
209,209,thats son confused,negative
211,211,dat hood girl wit dem fake as long lash dat medusa hairndem long as manicured nail aint baller,negative
218,218,all think sad enough team roster spot wnba realize league profitable n b would folded long time ago,negative
225,225,ja learn as lost home dillion brook naw ja,negative
230,230,im sorry,negative
233,233,i already see weakness,negative
234,234,this embarrassing,negative
