,0
0,
1,i think bmx injury
2,nonand ill give one reason lebron career average free throw shooter 8 average season 8 average season giving career average total jordan never one average season line lowest season free throw percentage higher lbj highest also james time leader playoff turnover pace time leader turnover next 2 season ok said one reason
3,thankful view video youtube taken down sure taken youtube great thanks god bless
4,tmac would win
5,the sixer management team ruined kid misdiagnosing injury dude twitter broke it shoulder literally sits different level arm arm
6,1433 coj
7,yea tmac would beat kd
8,tmac would defeat durant would close
9,all le bron stans make million one excuse happened happen fact provided video explain reason jordan better le bron le bron stans refuse acknowledge this
10,he tried get deep fucked up
11,got ta see new movie thats coming
12,im going lie argument lebron horrible many hole perspective lol
13,therefore never better player shaq
14,iam glad came play 2001 jordan nation hurting 911 like beatles 1964 month later assassination jfk way help moment stop tear
15,nothing ever take place good old fashioned scouting evaluating player yeah
16,heard long time
17,vince domonic best dunker history nba
18,know age experience showing
19,stop jordan fan end day matter say till pippen took responsibility playing team best player jordan ever win
20,ahh man reaction hilarious
21,curry flip 3614
22,thanks exposing medium pundit lack research proof peopleneed research own even come something small watching sport
23,remember destroying spur playoff it interesting never mentioned colorado thing reason kobe poor performance final piston 04 made several time agree kobe wasnt good 0405
24,before called westbrook westbrick
25,tmac pissed lol jit so south florida
26,otherwise jordan would clearly better magic johnson 8790
27,first
28,lmao called jit
29,we timber soccer
30,my man drowning
31,see truth appear shalom
32,fall got ta fall bum
33,nice see u remember ben wallacei always wonder never come matter never hear word abt piston line news segmentits like want u forget ever happened
34,curry win also impact metric shown best isolation play warrior steph curry shot year
35,i thought team futurethe guy challenge kobe underacheived careerno defense no consultant effortmcgrady favorite take game underacheived truth kd would win close e one
36,know major improvement statistic especially playoff statistic
37,yeah thats you laughed well
38,he robbed lebron goin 04 playoff smh
39,see say mac mac came straight high school league dominating mean beast need college develope enough said
40,sidney moncrief
41,notification
42,the disrespect im seeing tmac must 2000 baby here prime tmac hell league would team
43,good daythere thing subconsciously bos mode long good good good regardless circumstanceseven dig nose stop light gooodfor others particular ilkyou know sayingyou drop consciously way didpoor guy
44,arguably best player last 10 year
45,scared approach jordan practice
46,people think thing legend someone marketing opposed happened people saw jordan
47,something medium never done curry always go extreme judging play secondly talent never major parameter determining best player world
48,great
49,consistently miss point kd gsw gsw without kd year final prove need kd win klay went game 6 reason believe continued ride momentum complete comeback force game 6 game 7
50,so telling michael jordan best 3 defender ever position lebron every year lebron half championship
51,played 51 game season whole playoff curry outplayed him 2019 final showed great steph
52,star pro olympic team using college player
53,scoring title 325ppg shooting 53
54,one reason team chose gameplan him steph outranked kd 2 3 time mvp voting time
55,impact lakers never level shaquille o neal
56,water
57,could monarch child need reprogrammed
58,carmelo anthony mac simple minded hall famer
59,klay better shooter curry
60,how gon na sign kd
61,lebron didnt even make playoff first two season
62,that okc team loaded
63,rachel nichols fat
64,kendrick perkins proved he idiot
65,rachael hot though
66,jordan impact worldwide felt way better lebrons
67,competition giannis
68,even another player averaging around 7 assist
69,would nba champion doubter
70,nba star
71,win another mvp get another final wait
72,gsw bounce back 2022 kd
73,rookie year 7 millionn2nd year 83 millionn3rd year 97 millionn4th year team option 122 million n5th year player option 159 millionn unlikely hell get team option 4th year especially produce upcoming 3rd year nba career literally line year
74,winning steal title averaging 32
75,superbowl
76,said helped kd win chip opposing team
77,you full shit coj lebron finished 2nd mvp voting possibly way 4th championship wrong hiding asshole
78,kendrick perkins terrible he lebron fanboy
79,you really made understand reason superteam movement big wig know trying do trying get old league back cant trick intelligent man believing were looking next jordan lebron
80,love kind debate
81,top 30 lol nah 1 1 top 35
82,the reason saying medium already put steph curry second greatest pg behind magic 2016
83,not lifetime
84,rachel nichols come one chick extremely adroit field giving fellatio
85,shannon sharpe love lebron
86,i going ask lebron best league come mvp last two season
87,5 spot key building team around worked drafted bill walton 77 draft moses malone season
88,like russell worstbrick
89,thats happened jayson williams played chicago motorcycle accident
90,cooper one great perimeter defender ron artest run indiana
91,apology here keep bringing seem astute e solo la mia opinione pace
92,talk dr j transcendent player alsothe classiest
93,i know im late kd going back warrior bob myers said draymond calling bch respect leaving draymond need learn cant get away type antic mouth reason warrior lost cavs 2016 first place
94,if watch game 1 91 nba final
95,blazer didnt need jordan clyde drexler understand time
96,jealousy jealousy
97,lebron never good mike mike never choked
98,maybe lebron
99,i get get paid attitude college need compensate stay physically prep 4 year
100,certain thing like what
101,aight men peace keep dropping gem food thought
102,channel speaks commonsense manner most rant might belong another forum
103,the fact pippen never show winning 1 mean anything
104,throw ball mound pitcher receive ball 3rd basemen could pitch markelle might yip
105,one is secondly series still close
106,kendrick bitch payroll
107,draymond never top 20 smfh
108,lol yo shannon voice best ever lol ik hate u
109,ron harper great defender
110,etc
111,must pay get team another level lebron
112,heard shoulder injury regular bmx rider
113,percalater never factor final u say curry dont rise occasion friend beard dr jeckle mr hyde let tell steph handed stuff he golden boy new york lingo foh
114,there lot player want play wont say for bob knight indiana bob knight known flaky stuff happen ref conspiracy theory nba ha olympic team stacked team year number player went become pro
115,im trying get commercial
116,3 blazer background look like kds pop lol
117,ie one shot run klay could changed whole outlook nnthe argument kd stats
118,i like markelle im rooting come back strong
119,no
120,yes offensively tmac kd got defense offense blow out
121,not sound sycophantic whatever childish shenanigan lebron delf creating team cohesivenesshis track record reaching final stage consistently prof worknand point top team playing without main driversad shown claimingthe buck hand kind okntalking variableshunnnot minimize ad defensive skill top notch playing along great point guard help ad shine offensively
122,kawhi lebronnnlike kobe shaq 9904
123,nba statistic
124,could guard 4 5 position
125,where would u rank rose mvp season
126,im patreon
127,and today basically superteam
128,jordan
129,4 loss final fact last two season
130,im even 30 even remember great tmac mid 2000s remember team tmac like 20 game row would close
131,watch magic throwing assist assist jordan head jordan worried magic posting up instead magic picked bull defense apart pick poison scottie put kibosh shit
132,he calling jr laughing stock nba
