,Unnamed: 0,0,sentiment
2,2,nonand ill give one reason lebron career average free throw shooter 8 average season 8 average season giving career average total jordan never one average season line lowest season free throw percentage higher lbj highest also james time leader playoff turnover pace time leader turnover next 2 season ok said one reason,positive
3,3,thankful view video youtube taken down sure taken youtube great thanks god bless,positive
4,4,tmac would win,positive
9,9,all le bron stans make million one excuse happened happen fact provided video explain reason jordan better le bron le bron stans refuse acknowledge this,positive
14,14,iam glad came play 2001 jordan nation hurting 911 like beatles 1964 month later assassination jfk way help moment stop tear,positive
15,15,nothing ever take place good old fashioned scouting evaluating player yeah,positive
17,17,vince domonic best dunker history nba,positive
19,19,stop jordan fan end day matter say till pippen took responsibility playing team best player jordan ever win,positive
20,20,ahh man reaction hilarious,positive
26,26,otherwise jordan would clearly better magic johnson 8790,positive
28,28,lmao called jit,positive
31,31,see truth appear shalom,positive
33,33,nice see u remember ben wallacei always wonder never come matter never hear word abt piston line news segmentits like want u forget ever happened,positive
34,34,curry win also impact metric shown best isolation play warrior steph curry shot year,positive
35,35,i thought team futurethe guy challenge kobe underacheived careerno defense no consultant effortmcgrady favorite take game underacheived truth kd would win close e one,positive
36,36,know major improvement statistic especially playoff statistic,positive
37,37,yeah thats you laughed well,positive
43,43,good daythere thing subconsciously bos mode long good good good regardless circumstanceseven dig nose stop light gooodfor others particular ilkyou know sayingyou drop consciously way didpoor guy,positive
44,44,arguably best player last 10 year,positive
47,47,something medium never done curry always go extreme judging play secondly talent never major parameter determining best player world,positive
48,48,great,positive
49,49,consistently miss point kd gsw gsw without kd year final prove need kd win klay went game 6 reason believe continued ride momentum complete comeback force game 6 game 7,positive
50,50,so telling michael jordan best 3 defender ever position lebron every year lebron half championship,positive
51,51,played 51 game season whole playoff curry outplayed him 2019 final showed great steph,positive
59,59,klay better shooter curry,positive
66,66,jordan impact worldwide felt way better lebrons,positive
69,69,would nba champion doubter,positive
71,71,win another mvp get another final wait,positive
74,74,winning steal title averaging 32,positive
76,76,said helped kd win chip opposing team,positive
80,80,love kind debate,positive
81,81,top 30 lol nah 1 1 top 35,positive
82,82,the reason saying medium already put steph curry second greatest pg behind magic 2016,positive
84,84,rachel nichols come one chick extremely adroit field giving fellatio,positive
85,85,shannon sharpe love lebron,positive
86,86,i going ask lebron best league come mvp last two season,positive
88,88,like russell worstbrick,positive
90,90,cooper one great perimeter defender ron artest run indiana,positive
93,93,i know im late kd going back warrior bob myers said draymond calling bch respect leaving draymond need learn cant get away type antic mouth reason warrior lost cavs 2016 first place,positive
100,100,certain thing like what,positive
101,101,aight men peace keep dropping gem food thought,positive
108,108,lol yo shannon voice best ever lol ik hate u,positive
109,109,ron harper great defender,positive
114,114,there lot player want play wont say for bob knight indiana bob knight known flaky stuff happen ref conspiracy theory nba ha olympic team stacked team year number player went become pro,positive
116,116,3 blazer background look like kds pop lol,positive
118,118,i like markelle im rooting come back strong,positive
121,121,not sound sycophantic whatever childish shenanigan lebron delf creating team cohesivenesshis track record reaching final stage consistently prof worknand point top team playing without main driversad shown claimingthe buck hand kind okntalking variableshunnnot minimize ad defensive skill top notch playing along great point guard help ad shine offensively,positive
130,130,im even 30 even remember great tmac mid 2000s remember team tmac like 20 game row would close,positive
132,132,he calling jr laughing stock nba,positive
134,134,big guy think way around doug phil jordan loved doug collins thrilled phil taking team,positive
140,140,that 84 team arguably greatest amateur team ever assembled,positive
141,141,blocking 16 shot per game also managed 80 assist 80 rebound somebody like lebron could never focus offense defense level season,positive
142,142,tedy bruschi look like bruno mar,positive
143,143,grey cup world series,positive
144,144,shit best player country,positive
145,145,please make sure configure account correctly decide much decide pay,positive
150,150,lol,positive
151,151,stephen curry nnwhat following year 202023 consistent true 3 year,positive
152,152,portland also lowno tax iirc worse position nba making million pac northwest also lot venture capitalist area country well court opportunity money well,positive
154,154,hahaha amazing max,positive
158,158,what every nba player ultimate goal getting nba win nba championship mean mvp,positive
160,160,sure like role phil wanting jordan get team involved doug let jordan wanted great chemistry two jordan grew appreciate phil jackson scotti pipen may something due ability mesh jordan well one smoother thing player would get upset jordan,positive
166,166,around 1550 yeah,positive
167,167,alone would allow question one ability term good are female speaker clue,positive
168,168,charles barkley got greatest team everbut worked hard get contract year,positive
169,169,i remember knoblauch quite clearly well definitely yip nnif ever seen movie major league 2,positive
170,170,this good video good analysis thanks mate,positive
171,171,one unanimous think fair expect steph,positive
173,173,lmao,positive
177,177,your funny but,positive
178,178,not gon na take klay thompson 24 month especially shoot play defense,positive
179,179,fultz people term sad eye issue laughing matter,positive
182,182,glad ok brother,positive
184,184,great mention judah,positive
186,186,there many example show mj greater lebron medium dont bring dynamic point,positive
189,189,curry missed significant time dub never 60 game durant missed time 2017 warrior 67 game nthe greatest judgement skillset translates making look good make teammate better,positive
190,190,perimeter game developed game like 198990 became great mid long range pippen perimeter game either like 1991 nnconcerning isiah thomas v jordan great rivalry wish jealousy yet great rivalry piston made right move personnelwise 1991 thomas stayed wrist injury lot change could made prolong great match ups 90 nndoug collins could hold yet always made team better repair crappy team collins good taking stupid young team making contender,positive
194,194,please configure account correctly based fact 40 exclusive video platform 4 instructional video patreon page understand bill yourselfnnhttpswwwgofundmecomfchroniclesofjudah144nnvenmo chroniclesofjudah144 nnnew email listnnchroniclesofjudah144emaillistgmailcomnnjoin email list update channel,positive
198,198,he even top 5 nba today ask anyone know game 90 mental 10 physical today sport way feminine way focused aesthetic,positive
199,199,another paid puppet behind confusion good commentary cj,positive
200,200,great point judah philadelpia 76ers could let go markelle fultz showing loyalty himxa0 good point busniness personal relationship people cant get anything cut off,positive
201,201,i would answered questioned same call self confidence,positive
202,202,steph guy play like lonzo ball it time go real,positive
203,203,people get misunderstanding better talented,positive
207,207,thats laugh everytime hear someone say larry bird greater lebron james larry bird dominated league player rarely worked out judah like say player today using peds elevate jordan bird era,positive
210,210,curry best player warrior,positive
214,214,whats great lebrons game again nobody play defense handle absolutely pg nbiggest guy court cry call first chip pussy,positive
215,215,when going get tough it playoff time could never compare mvp winner best player like kdbron,positive
217,217,i said dirk nowitzki better kobe,positive
219,219,pipen go to jordan much respect doug ask doug come retirement coach played washington good video overall,positive
221,221,weird hearuntil know fultz actually enjoy bmx biking putting 2 2 together likely lil much fun bike summer he coming clean team cuz think would void contract cuz alot contract wording prohibits person anything dangerouslike bmx biking skateboarding,positive
222,222,talented skillful individually kobe,positive
223,223,jordan entire different level someone like lebron comparing lebron jordan insult jordan legendary greatness lebron great player,positive
224,224,knight went wanting jordan team calling best ever saw even entered league crazy,positive
226,226,thats happens leave early nba get paid physically fit,positive
229,229,haha,positive
235,235,lakers going win championship season matter,positive
236,236,judah stephen curry able win year mvp look likely move ahead kobe top 1215 range 3 x mvp thats magic johnson larry bird moses malone area kareem 6 mj russell 5 lebron dr j abanba wilt 4 magic bird moses 3 also 3 title help prove curry heading top 12 spot best,positive
238,238,well happen bron thing championship mvp,positive
239,239,sir chroniclesofjudah hu best defender altime hu put,positive
240,240,just finished rewatching chicago bull 91 championship run scottie pippen wasis best defensive player history play 8 total team russell,positive
243,243,make another great point stating wherever james played,positive
245,245,thank supporting channelnnhttpswwwpaypalmechroniclesofjudah144nncash app chroniclesofjudah144nnhttpswwwpatreoncomchroniclesofjudah144nnnew email listnnchroniclesofjudah144emaillistgmailcomnnjoin email list update channel,positive
247,247,420 450 lmao,positive
252,252,love reading comment,positive
255,255,thank supporting channelnnhttpswwwpaypalmechroniclesofjudah144nncash app chroniclesofjudah144nnhttpswwwpatreoncomchroniclesofjudah144nnpeace brothas please keep mind uploading 1540 exclusive video per month patreon site choose pledge order see video,positive
257,257,scoring champion goal medal winner olympics great accomplishment nba champion player chance be ultimate goal every great player like stanley cup,positive
260,260,great point kobe even better gone college kobe phenomenal overall 0304 season,positive
263,263,humble articulate professional basketball player ever seenalong wilt bill russel saw prime like think mine fairly educated guess opinion second,positive
264,264,im taking gsw tor win chip without kd cant win chip without kd klay get it kd would never respected ring attained golden state,positive
266,266,well small man back back mvp,positive
268,268,lebron james 10th alltime great list dude damn overrated yup,positive
269,269,i agree 90 tougher make seem like dude bench pressing sideline dude getting stretchered court driving lane,positive
270,270,did anyone catch bio scottie dunked patrick ewing really hard lol,positive
272,272,steven azzwhole smith straight buck dancing sellout,positive
274,274,coj interesting indirectly saying lbj great able beat someone size offensive game great green great iggy getting credit better defensive player since slowing lbj down fact final mvp lbj later kd able too usually gifted offensive player still score someone great defensive skill even face best themselves,positive
281,281,lakers work harder defense carry lebrons load he standing corner,positive
283,283,watching live like seeing snl skit,positive
284,284,like great player great enough drag injury riddled team victory,positive
286,286,well ad play season need another player play defense score likekyrie furthermore,positive
287,287,team systemperiod obvious one talk day analytics statslike number 3 made eating cheetos watching friend example kidding,positive
288,288,ferocious like comet,positive
290,290,elite defender wing occasionally 4 position payton monster,positive
292,292,on cool many 2 guard dropped 25 30 pt jordan think many any,positive
294,294,she said ad named western conference player week first thing nigga said wa lebron amazing,positive
295,295,i saying year bron using enhanced drug lady confirmed initial package receiving 3 year nba downplayed cause still face league truth come retires,positive
297,297,why jordan beg barkley join wizard,positive
298,298,that white guy sound like believe he saying,positive
302,302,russell westbrick lol,positive
303,303,ok,positive
305,305,love judah video ive seen pure greatness kobe bryant biggest game 2000 final game 4and lebron im waiting screw doe,positive
306,306,behind fall every great man normally woman big fact coj,positive
