,id,title,description,comments
0,DxWuiqtfxZ8,"Lebron James No.1 Fan HATES KD Due To KD's Preference For Jordan, Kobe, &Kyrie Over Bron Bron! pt2",,"['LaShannon James has it really really bad for his boo thang.', '“Ferocious like a comet” 😂', '“Shit I was the best player in the country” 😭😭', 'Where would u rank d rose mvp season ?', ""On the cool how many 2 guards dropped 25 to 30 pts on Jordan? I don't think many if not any"", 'Even with the Wizards when MJ was pushing 40 and 20 lbs over his playing weight Jordan was feared and could kill you. His stats with Washington were on par with a Paul Pierce all star season.', '#3 on the blazers in the background look like KD’s pops lol 😂', ""Great mention Judah, Dr.J averaged 24/8/4/2/2 very much better than Kobe's 25/5/5. Kobe's stats compared to his group is probably the weakest. West 27/6/7. Big O 26/7/9. Moses 20/12. Elgin Baylor 27/13/4. Isiah 19/4/9. Only Havlicek with 21/6/5 comes lower than Kobe's career stat line. The way Kobe shot the ball he should average 28/29 PPG for a career."", 'Hakeem and Magic beg to differ. Lebron is NOT the most skilled big man in the history of the NBA.', 'Your not funny but', 'AI and Jason Richardson had the craziest athleticism  Ive ever seen.', '4:20 - 4:50 lmao', 'That Shannon Sharpe impersonation..*PRICELESS* Keep keepin it real my brother.✊', ""First, you make an extremely valid point, when you talk Dr. J. being a transcendent player and also...the classiest, most humble and articulate professional basketball player I have ever seen(along with Wilt and Bill Russel). I saw them all in their prime and like to think that mine is a fairly educated guess and opinion. Second, you make another great point in stating that wherever James has played, it's his team and his system.....period. It's so obvious. One can talk all day about analytics and stats(like number of 3's made while eating cheetos and watching 'Friends' - for example). Just kidding, but nothing will ever take the place of good old fashioned scouting when evaluating a player. Yeah, I know my age and experience is showing, but hey, your channel speaks to me in a common-sense manner more than most. My rant might belong in another forum, so my apologies for it here. You keep bringing it as you seem very astute. E solo la mia opinione. Pace."", ""It's a tie or 1a &1b for LeBron superan between... LeShannon vs Nick Wright-James. What you think?"", ""Jealousy jealousy, yeah that's you. I laughed at him as well."", 'Klay is a better shooter than Curry', 'Kobe, Vince and Domonic were the best dunkers in the history of the NBA.', ""LeBron James is the 10th on the all-time great list. Dude so damn overrated. Yup, I rank Shaq Olajuwon an Duncan ahead of him. He's a horrible leader an that qualifies for greatness. His ass stuck at number 10. Get 5 rings I might put him 8th, might. He'll never be ahead of Tim Duncan. Never."", 'lol yo shannon voices are the best ever lol ik he hates u']"
1,KPiWv7CmyxI,Can LeBron James be better than Michael Jordan?,,"[""When you lead, with emotions that alone show signs of lack of strength (weakness in other words). People who exhibit these symptoms can't be trusted to lead because they allow their judgment to outweigh their common sense. These entertainers are Luciferians who believe in Lucifer as an actual deity, this is who they praise on a regular basis. The highest form of Ignorance is to reject something you know nothing about. Most of these entertainers are on enhancement drugs, that alone would allow me to question one's ability in terms of how good you are. The female speaker doesn't have a clue, about NBA statistics, she's just another paid puppet behind the confusion. Good commentary CJ!!"", 'No', 'Thats Micheal JORDAN maaaan Come on 🏀 🐐', 'I been saying that for years Bron been using enhanced drugs when that lady confirmed his initials on those packages and had been receiving them for 3 years the NBA downplayed it cause they still have him as the face of the league but the truth will come out after he retires', ""All of the Le Bron Stans will make a million and one excuses why this happened and why that didn't happen. All of the facts provided in this video explain the reason Jordan is better than Le Bron and the Le Bron Stans refuse to acknowledge this."", 'Led the league in scoring while in a triangle systems', 'Love the Judah videos but I’ve seen Pure GREATNESS from Kobe Bryant in the biggest games 2000 finals game 4????and with Lebron I’m just waiting for him to screw it up and he does...', 'Shannon Sharpe loves LeBron, mule-faced brothers stick to gather!', 'Keep in mind that jordan won ALL OF THESE IN THE SAME YEAR:  MVP, DPOY, scoring title at 32.5ppg while shooting 53%, winning steals title while averaging 3.2, and blocking 1.6 shots per game.   He also managed 8.0 assist and 8.0 rebounds.  Somebody like lebron could never focus on offense and defense at that level IN THE SAME SEASON.', 'Before he called Westbrook Westbrick 🧱😂', 'I’m not going to lie the arguments against Lebron are horrible. So many holes in this perspectives. Lol', 'Short answer : No!', 'I was going to ask if lebron the best in the league how comes he is not the MVP for the last two seasons', '""Behind the fall of every great man is normally a woman""  big facts from COJ', 'LeBron can never be as good as Mike. Mike never choked!', ""Jordan impact worldwide was felt way better than Lebron's"", 'NO!\nAND I’LL JUST GIVE YOU ONE REASON. LEBRON IS A CAREER BELOW AVERAGE FREE THROW SHOOTER. HE HAS 8 AVERAGE SEASONS & 8 BELOW AVERAGE SEASONS GIVING HIM A CAREER BELOW AVERAGE TOTAL. JORDAN NEVER HAD ONE BELOW AVERAGE SEASON FROM THE LINE. HIS LOWEST SEASON FREE THROW PERCENTAGE IS HIGHER THAN LBJ’s HIGHEST. ALSO JAMES IS THE ALL TIME LEADER IN PLAYOFF TURNOVERS AND ON PACE TO THE THE ALL TIME LEADER IN TURNOVERS IN THE NEXT 2 SEASONS. OK I SAID ONE REASON.  😁', 'MJ, Kobe, Maybe Lebron', 'Not in this lifetime, Jordan is on an entire different Level to someone like Lebron comparing Lebron to Jordan is an insult to Jordans Legendary Greatness. Lebron is just a great player, but he is no Jordan.', 'He is not even my top 5 in the nba today; ask anyone who knows the game 90% mental 10% physical;   todays sports is way to feminine and way too focused on aesthetics']"
2,i1yLrEb6h6I,The Fall Of Markelle Fultz!,,"[""rookie year 7 million\n2nd year 8.3 million\n3rd year 9.7 million\n4th year (team option) 12.2 million \n5th year player option 15.9 million\n It's unlikely he'll get the team option 4th year especially if he doesn't produce this upcoming 3rd year. His NBA career is literally on the line this year."", 'Fultz has what people term ""sad eyes"". His issue is no laughing matter!', 'fall??? you gotta be up to fall! he has been a bum', ""Good day.......there are some things you can do subconsciously in  BOSS mode;  IF YOU ARE FOR SO LONG GOOD GOOD GOOD  AT  IT regardless of circumstances..EVEN A DIG IN YOUR NOSE AT A STOP LIGHT Goood..for me and others of a particular ilk....YOU KNOW WHAT I AM SAYING....!!?.....You don't DROP off consciously the way He did....poor guy😞"", 'Thats what happened to Jayson Williams when he played with Chicago! Motorcycle accident', 'That\'s what happens when you leave early to the NBA because you have to get paid. They are not physically fit, prepped for the NBA 82 games + a year. Alot of them are getting hurt because of this, ""I get to get paid"" attitude. Colleges needs to compensate so they can stay & physically prep themselves after 4 years', 'Russell west brick 🧱', 'We should have got Jayson Tatum', ""There's a youtube video about the motorcycle accident by an NBA youtuber."", 'Great, great point about Kobe being even better had he gone to college. Kobe was phenomenal overall in the 03-04 season, I remember him destroying the Spurs in the playoffs. And it’s interesting that you never mentioned the Colorado thing as a reason for Kobe’s poor performance in the finals against the Pistons in 04. I have made that that several times. I do agree that Kobe wasn’t good in 04-05.', 'GREAT POINT JUDAH THE PHILADELPIA 76ERS COULD HAVE LET GO OF MARKELLE FULTZ BUT THEY ARE SHOWING THEIR LOYALTY TO HIM.\xa0 GOOD POINT NOT JUST BUSNINESS BUT PERSONAL RELATIONSHIPS IF PEOPLE CANT GET ANYTHING OUT OF YOU THEY WILL CUT YOU OFF.', 'I like Markelle. I’m rooting for him to come back strong!', ""i think he don't wanna sign that mason contract and do a sacrifice"", ""I'm anti AAU. AAU play removes the time of development.  Home town star Sebastian Telfair never had the time to develop a jump shot smh."", 'Always say let them stay in college for two years b4 NBA..', ""I remember Knoblauch quite clearly as well. He definitely had the yips. \n\nIf you've ever seen the movie Major League 2, the catcher for the Indians, Rude Baker, couldn't throw the ball to the mound. The pitcher had to receive the ball from the 3rd basemen so he could pitch. Markelle might have the yips, or he could be a monarch child that needs to be reprogrammed."", 'The Sixers management team ruined this kid by misdiagnosing his injury. A dude on Twitter broke it. His shoulder literally sits on different levels from arm to arm, it looks painful watching him in slow motion.', 'I think it was a bmx injury, from what i heard the shoulder injury he has is regular with bmx riders, that is weird to hear...until you know that fultz actually does enjoy bmx biking so putting 2 and 2 together most likely he was having a lil too much fun with his bike over the summer and hes not coming clean with the team cuz i think that would void his contract cuz alot of contracts have wording that prohibits the person from doing anything dangerous...like bmx biking or skateboarding, using motorcycles anything that can hurt the player that the team INVESTED in', 'Subbed 3 videos ago', 'I heard about the motorcycle accident as well.']"
3,QmD_whESzo8,Kendrick Perkins DESTROYS Steph Curry!,"Thank you for supporting this channel

https://www.paypal.me/chroniclesofjudah144

Cash App: $ChroniclesOfJudah144

https://www.patreon.com/ChroniclesofJudah144

New Email List!:

ChroniclesofJudah144EmailList@gmail.com

Join email list for updates on the channel, notifications, etc.","['Thank you for supporting this channel\n\nhttps://www.paypal.me/chroniclesofjudah144\n\nCash App: $ChroniclesOfJudah144\n\nhttps://www.patreon.com/ChroniclesofJudah144\n\nNew Email List!:\n\nChroniclesofJudah144EmailList@gmail.com\n\nJoin email list for updates on the channel, notifications, etc.', ""One thing we need to do is be consistent, something the media has never done with Curry as they always go to extremes when judging his play. Secondly talent has never been a major parameter in determining who the best player in the World is, otherwise Jordan would have been clearly better than Magic Johnson from 87-90, but that was not the case. Also, a larger sample size makes the data more reliable, a Finals MVP has never meant that one is the best in the World, it is only 4-7 games compared to a 100-game full season sample. \n\nWith KD the Dubs were 29-24, no Curry. Flip it and it is 36-14, 4 of those losses in the Finals. In fact the last two seasons, Curry missed significant time and the Dubs never won over 60 games. Durant missed time in 2017 and the Warriors won 67 games. \nThe greatest judgement of skillset is how it translates in not only making you look good but how it makes your teammates better, Curry wins that also as the impact metrics had shown. The best isolation play for the Warriors was a Steph Curry shot in those years, which was one of the reasons teams chose to gameplan more for him. Steph outranked KD 2 out of 3 times in the MVP voting and the only time he did not, he only played 51 games all season. In the whole playoffs Curry again outplayed him. What the 2019 Finals showed was that as great as Steph is, like any great player he is not great enough to drag an injury riddled team to a victory, no one is. Secondly  the series was still close, i.e one shot or run or a Klay could have changed our whole outlook. \n\nThe only argument for KD was his stats, but we all know again that the major improvements in his statistics especially the playoff statistics was again, Stephen Curry. \n\nWhat the following years 2020-23 did was be consistent with what was true in those 3 years, not only was Curry the best player for the Warriors, but he was arguably the best player of the last 10 years, the only competition he had was Giannis, Jokic, Kawhi and LeBron.\n\nLike Kobe and Shaq between 99-04, as talented and skillful individually as Kobe was, his impact on the Lakers was never on the level of a Shaquille O' Neal, therefore he was never a better player than Shaq."", 'GSW DID bounce back in 2022 with no KD', 'I agree that the 90s were tougher but they make it seem like dudes were bench pressing on the sidelines and dudes were getting stretchered off the courts after driving into the lane 😂😂😂', ""Kendrick Perkins is terrible he's A LeBron fanboy"", ""Kendrick Perkins proved that he's a idiot"", 'What is every nba players ultimate  goal when getting into the nba is it too win a nba championship. I mean they can be mvp, rookie of the year, nba all star, defensive player, scoring champion and goal medal winner in the Olympics  which are great accomplishments but being an nba champion  is what few players have chance to be. Which is the ultimate  goal for every great players just like the stanley cup, grey cup world series, and superbowl.', ""I know I'm late but KD wasn't going back to the Warriors after what Bob Myers said and Draymond calling him a b**ch. I can respect him leaving as Draymond needs to learn that he can't get away with those type of antics. His mouth was the reason Warriors lost to the Cavs in 2016 in the first place"", 'People get misunderstanding better with more talented', 'That okc team was loaded', 'Perkins is such a fuckin clown. Literally has used KDs name for relevancy and notoriety.', 'Steph Curry flat out choked. If that was Harden everyone would say it. Dude missed a wide open shot in game 6. Curry birthday caked it.', 'kendrick is a bitch on payroll', 'kendrick hating on curry for ending his career', 'The reason why he saying it was because the media already put steph curry as the second greatest pg behind magic in 2016, so there’s a red dot on him since then', 'Not gonna take Klay Thompson 24 month. Especially when all he does is shoot and play defense.', 'Russell Westbrick lol, more like Russell Worstbrick..', ""14:33 CoJ, you're on point most of the time, but you consistently miss the point with KD and GSW. GSW can and HAVE won without KD. This year's finals didn't prove that they need KD to win. Before Klay went down in game 6 I have no reason to believe they wouldn't have continued to ride his momentum and complete their comeback to force a game 6. In a game 7, I'm taking GSW over TOR. They can win a chip without KD. They can't win a chip without KD AND Klay. Get it? KD would have NEVER been respected for the rings he attained with Golden State, never."", ""Well what other small man has won back to back MVPs, with one being unanimous?  I think it's fair to expect more from Steph."", 'How they gonna sign kd?', ""Percalater was never a factor in any finals but u say curry dont rise to the occasion what about your friend beard dr jeckle mr hyde but let him tell it steph is just handed stuff he's the golden boy new york lingo foh""]"
4,subrmPesYAc,Is Stephen A. Smith ON THAT WEEEEEEEEEDDD-UHHH?!!!,,"['I’m on your patreon, but thankful to view the videos that were up on YouTube and have been now taken down. Not sure if they were taken down by you or YouTube by they were great. thanks God bless', 'Steven Azzwhole Smith is a straight UP Buck dancing Sellout!!!', '""Certain things like what?"" 😂😂😂', 'They gone have dis nigga covering Lucha Libre matches', '""And I wonder....is Stephen A Smith on the WEEEEEEED"" lmaoo that shit made my day', '😭😂🤣', 'AHH MAN YOUR REACTIONS ARE HILARIOUS....', '“He tried to get deep & fucked up” 😂😭', '😂😂😂', 'Hahaha. Amazing! ""Max, Max, you gotta see this new movie that\'s coming out, called Titanic. It\'s epic Max, it\'s about a big boat, water, Celine Dion sings a profound song Max"".', '😂😂😂😂😂', 'Dood you are funny as hell my man for real.', '""I\'m"" just trying to get to commercial. "" 😂😂', 'Tedy Bruschi looks like Bruno Mars', 'Watching  this live  was like seeing an SNL skit 😂😂', 'Haha, thanks for exposing the media pundits lack of research. Proof that people.need to research on their own. Even when it comes to something as small as watching sports.', ""I'm weak! Lol"", 'Lmao 😂', 'My man was drowning out there 😂', 'Was he ON CRACK!?']"
5,kinp1ZOv64w,"Famous Coach States ""I DON'T WANT MICHAEL JORDAN On My Team!!""",,"['Knight went from not wanting Jordan on the team to calling him the best he ever saw before he even entered the league. Crazy.', 'This is a good video. Good analysis. Thanks mate', 'That 84 team is arguably the greatest amateur team ever assembled.', ""What's so great  about lebrons game again? Nobody plays defense.  No handle.  Absolutely not a PG. \nBiggest guy on the court  crying for calls.   From his first chip on the has been Pussy"", ""Big Guy I think it was the other way around with Doug and Phil! Jordan loved Doug Collins and was not thrilled at Phil taking over the team, he didn't understand the West Coast offense or his role moving from the point to the two guard, and he sure didn't like the role in Phil wanting Jordan to get his team more involved. Doug let Jordan do what he wanted and there was great chemistry between the two. Jordan grew to appreciate Phil Jackson and Scotti Pipen may of had something to do with this due to his ability to mesh with Jordan well and be the one who smoother things out with the players who would get upset with Jordan, chewed out by Jordan, or were scared to approach Jordan after practice, pipen was the go to. But Jordan had so much respect for Doug he ask Doug to come out of retirement to coach him when he played with Washington  but good video overall 👍💯"", ""Blazers didnt need Jordan. They had Clyde Drexler. You have to understand that at the time, the 5 spot was key to building your team around. It worked when they drafted Bill Walton as they won in '77. They did draft Moses Malone before that season, but it showed how smart they were in drafting centers. Problem was, Sam Bowie became Walton 2.0 as far as the injuries go"", 'When lebron retires he will be forgotten..when Jordan dies he will leave in our memories and generations to come till the day planet earth is extinct.', ""That college team going 9-0 against NBA teams back then is a testament to how garbage the league was back then.  A college team WOULDN'T go 1-8 against any pro team today. Michael dominated a watered down league in the 90s , while magic and bird dominated a coke head league in the 80s , that's why I laugh everytime i hear someone say Larry Bird is greater than Lebron James. Larry Bird dominated in a league where players rarely worked out.  Judah like to say players today are using PEDs to elevate the Jordan and Bird eras."", 'Iam so glad he came to play in 2001 Jordan we as a nation were hurting from 9/11 just like the Beatles in 1964 some months later after the assassination of JFK in a way it help for a moment to stop the tears', 'Lebron didn’t even make the playoffs his first two seasons', 'There’s so many examples that shows how Mj is greater than lebron but the media don’t bring up dynamic points', 'There’s so many examples that shows how Mj is greater than lebron but the media don’t bring up dynamic points', 'Why did Jordan beg Barkley to join wizards?', 'Stop it you are a Jordan fan and at end of the day no matter what you say till pippen took on responsibility of playing teams best player did Jordan ever win', 'Charles Barkley just got on the greatest team ever.....but he only worked hard to get contracts in that year', ""People only think about how things are now or what the legend of someone is through marketing as opposed to what happened. People who saw Jordan then, he didn't have a perimeter game; he developed his game like in 1989-90 and became great from mid to long range. Pippen didn't have a perimeter game either until like 1991. \n\nConcerning Isiah Thomas vs. Jordan - that was a great rivalry and I wish there was no jealousy yet a great rivalry where the Pistons made the right moves personnel-wise after 1991 or that Thomas stayed out with the wrist injury - a lot of changes could have been made to prolong those great match ups into the 90's. \n\nDoug Collins could hold his own yet always made a team better to repair a crappy team... Collins was good at taking a stupid young team and making them a contender."", ""There were a lot of players that didn't want to play with (won't say for) Bob Knight. Indiana when Bob knight was there was known to have flaky stuff happen with the refs. More conspiracy theories than the NBA has. But that olympic team was a stacked team that year. The number of players that went on to become not only pros, but stars in the pros was more than any other olympic team that was using college players."", 'And today you basically have to have a superteam', ""5:18\xa0 Knight's problem with Barkley was that Barkley talked back to him."", 'You really made me understand the reason for this ""superteam"" movement. The big wigs know what they are trying to do. They are trying to get that ""Old league back""... But they can\'t trick an intelligent man into believing we\'re looking at the next Jordan in LeBron.']"
6,w8bw1ZCN4Hs,"Scottie Pippen CHECKS Draymond Green ""How COULD YOU Be The BEST DEFENSIVE PLAYER EVER??!!!""","https://www.paypal.me/chroniclesofjudah144

https://www.patreon.com/ChroniclesofJudah144","['W/ so much hate to go around for the warriors can you blame them for tooting thier own horn.', 'RUSSELL\nRODMAN\nDREAM\nin that order!', 'Hakeem Olajuwon has the most blocks in  nba history! He schooled Shaq in the 95 finals! Enough said', 'Cooper was one of the great perimeter defenders... and Ron Artest had a run in Indiana, where he was an elite defender on the wing and occasionally at the 4 position. But Payton was a monster.', ""If you watch game 1 of the 91 NBA Finals, you will watch Magic throwing assist after assist over Jordan's head. Jordan was so worried about Magic posting him up. Instead Magic picked the Bulls defense apart. Pick your poison. Scottie put the kibosh on that shit."", 'Just finished rewatching the Chicago Bulls 91 championship run. Scottie Pippen was/is the best defensive player in history. He did not play against 8 total teams (Russell), he was not dirty (Rodman), and could guard 4 - 5 positions.', ""The fact that Pippen never won it shows winning 1 doesn't mean anything."", 'Draymond has never been top 20. Smfh', 'I would have answered that questioned the same! I call it self confidence...', 'Sir chroniclesofjudah hu is the best defender of altime hu is your put?', 'nice to see u remember Ben Wallace.....I always wonder why he never comes up for that matter I never hear any word abt that Pistons line up in any news segment...its like they want us to forget that ever happened.', 'Gary payton\nMichael Jordan\nDennis Rodman\nBill Russell\nBen Wallace\nThis just my opinion for all time defensive players', 'So you telling me Michael Jordan has had the best 3 defenders ever at their position and Lebron and every year Lebron has half of that he won a championship?', 'ron harper was a great defender', 'The fact that he never won DPY always blows my mind', 'Do not forget about serge IBLAKA!!', 'Mutombo was old in that finals at that point if I recall. I still remember him blocking the hell out of Kobe lmao', 'Sidney Moncrief', ""COJ interesting.. indirectly you are saying LBJ isn't as great as he is because he wouldn't be able to beat someone his size because his offensive game isn't that great.. or Green isn't that great and Iggy should be getting more of the credit as the better defensive player since he is slowing LBJ down.  And the fact he has won the Finals MVP because of what he did against LBJ.. later what KD was able to do too.  Usually a gifted offensive player can still score on someone who has great defensive skill.. even themselves if they were to face the best of themselves."", 'Did anyone catch the Bio for Scottie?  Dunked on Patrick Ewing really hard ..lol']"
7,LJ8Epbk6KZY,Anthony Davis Set To ROB LEBRON?!!!,"Thank you for supporting this channel

https://www.paypal.me/chroniclesofjudah144

Cash App: $ChroniclesOfJudah144

https://www.patreon.com/ChroniclesofJudah144

https://www.gofundme.com/f/chroniclesofjudah144

Venmo: @ChroniclesofJudah144 

New Email List!:

ChroniclesofJudah144EmailList@gmail.com

Join email list for updates on the channel, NEW WEBSITE, notifications, etc.","[""Thank you for supporting this channel\n\nhttps://www.paypal.me/chroniclesofjudah144\n\nCash App: $ChroniclesOfJudah144\n\nhttps://www.patreon.com/ChroniclesofJudah144\n\nPeace brothas. Please keep in mind that I will be uploading 15-40 EXCLUSIVE VIDEOS per month on the Patreon site. For those of you who choose to pledge in order to see the videos, please make sure that you CONFIGURE YOUR ACCOUNT CORRECTLY. YOU DECIDE HOW MUCH YOU DECIDE TO PAY, and whether it's per month or per video. Once again, PLEASE CONFIGURE YOUR ACCOUNT CORRECTLY based on the fact that there will be up to 40 EXCLUSIVE videos on that platform. THERE ARE 4 instructional videos on the patreon page so that YOU CAN UNDERSTAND HOW TO BILL YOURSELF.\n\nhttps://www.gofundme.com/f/chroniclesofjudah144\n\nVenmo: @ChroniclesofJudah144 \n\nNew Email List!:\n\nChroniclesofJudah144EmailList@gmail.com\n\nJoin email list for updates on the channel, NEW WEBSITE, notifications, etc."", 'He just robbed LeBron by goin 0-4 in the playoffs smh....', ""Judah if Stephen Curry is able to win this year MVP which looks likely I have to move him ahead of Kobe an into top 12-15 range. 3 X MVP? That's Magic Johnson Larry Bird Moses Malone area. Kareem has 6. MJ & Russell 5. LeBron Dr J (ABA/NBA) & Wilt 4. Magic Bird & Moses 3. Also having 3 titles help further prove Curry heading for a top 12 spot at best."", 'Anthony Davis doing the robbery right now', 'I was with you until you said that Dirk nowitzki was better than Kobe, you lost me and your mind in that one statement smh. What NBA was you watching dude? Kobe out scored their whole team through 3 quarters. Pay attention when you watch NBA games dude', 'She said that AD was named western conference player of the week and the first thing that nigga said was... lebron has been amazing 🤣', ""Well it didn't happen Bron did his thing championship MVP 😂😂😂😂😂😂"", 'Rachel Nichols just comes off as one of those chicks who is extremely adroit in the field of giving fellatio.', 'Love reading the comments, but seriously come back Judah :(', 'When the going gets tough and it’s playoff time you could never compare the MVP winner to the best players like kd,Bron, and steph. These guys play like Lonzo ball when it’s time to go it for real.', 'You full of shit COJ. Lebron finished 2nd in the MVP voting and possibly on his way to a 4th championship. You wrong and now you hiding asshole', 'Around 15:50. Yeah, the Lakers work harder on defense because they have to carry LeBron’s load while he’s standing in the corner. 🤣', ""Suprised 2017 Steph and KD aren't on the list"", 'Raptors has already landed Lakers a loss.', 'In 2017-2018 Lebron deserved the MVP', ""Not to sound sycophantic but whatever childish shenanigans LeBron delves into creating a team cohesiveness,his track record of reaching the final stage consistently proves that it does work.\nAnd to your point of both top teams playing without their main drivers,AD has NOT shown what you're claiming,the Bucks on the other hand did kind of ok...\ntalking about variables,hun?\nNot to minimize AD's defensive skills because they are top notch but playing along a great point guard is what help AD to shine offensively."", 'Man I soooooo  hate that combination in a woman ; \n""extremely loud & obnoxious"".', ""That white guy sounds like he doesn't believe what he's saying..."", 'Where hell these two sack suckers come from . James is a good player not great never has been.', ""Ok, the Lakers are not going to win any championship this season. No matter, how well he and A.D. play this season. They need another player to play defense and score like..Kyrie. Furthermore, if A.D. leaves the Lakers are done even w LeBron on the ped's. The Lakers, must pay to get the team to another level. LeBron, will not win another MVP or get to another finals. Wait, and see these truths appear. Shalom."", 'No team with a lone player to avg 10+ assists and the lion share of the assists for the team has won the title. The lone exception would be Magic on his loaded team, but even then they had another player averaging around 7 assists']"
8,UMG7nmCk6Wg,Tracy McGrady Says 'I'll BEAT Kevin Durant 1 On 1' And He TOTALLY DISRESPECTS J.R. Smith!!!!,,"['T-Mac would defeat Durant. But it would be close.', 'Rachael is hot though.', 'He called him a jit, said he helped KD win a chip on the opposing team, and compared him to Jackie moon 💀 he killed him', 'Love these kinds of debates.', 'Yes offensively t-mac  but kd got defense and offense no blow out', 'That Orlando Magic T-Mac...smh  SHEESH -  the PERFECT offensive weapon.', ""I'm not even 30 but even I remember how great T-Mac was in the mid 2000s. I remember a team T-Mac was on that won like 20 games in a row. It would be close"", 'He is calling Jr the laughing stock of the NBA', 'Top 30 lol nah 1 on 1 he top 3-5', 'Hold his own ..he would beat anyinw but kobe or mj', 'T-MAC was pissed off lol. JIT S/O south florida.', 'Yea Tmac would beat KD', 'Tmac would win.', 'Give me T Mac he was RUTHLESS on the court. KD really has no killer instinct his shots just fall', 'Rachel Nichols.... FAT.', 'Tmac was penny hardaway 2.0 IMO...', ""The disrespect I'm seeing to T-Mac. Must be these 2000 babies on here. Prime T-Mac was hell in the league. Only if he would have had a team, he would be an NBA Champion. For all the doubters, pull up the video with Kobe, see what he had to say about Mac. Mac came straight out of high school into the league dominating which mean he was a beast. He didn't need college to develope. Enough said."", 'I thought they were team of the future.The guy to challenge kobe. But he underacheived in his career.no defense ...no consultant effort...mcgrady was my favorite to take the game over but he underacheived truth. Kd would win but close o e on one', 'Why you keep stopping the damn video 🤬', ""Lmao he called him a jit, haven't heard that in a long time""]"
9,d7Ab8PwL89A,What Is Loyalty? Vol.2 Starring Damian Lillard,"https://www.paypal.me/chroniclesofjudah144

https://www.patreon.com/ChroniclesofJudah144","['We have Timbers soccer, lol.', ""You know what? Anthony Davis sold himself short big time...I have a feeling he's going to live to regret his decision"", 'Carmelo Anthony ??? T mac is very simple minded and not a hall of famer', 'Portland also has low/no taxes iirc. There are worse positions in the NBA than making millions in the Pac Northwest. Also a lot of those venture capitalists are in that area of the country as well so there is an off the court opportunity for money as well.', '💯💯', 'Glad you are ok brother.', 'Aight men peace ✌🏾.... keep dropping those gems... food for thought']"
