,id,title,description,comments
0,TRj3dKKp9tI,Goalkeeper René Higuita's Incredible Scorpion Kick | From The Archive,"On this day in 1995, René Higuita performed the famous scorpion kick in a friendly game between England v Colombia.

The FA: http://www.thefa.com
Wembley Stadium: http://www.wembleystadium.com

TWITTER
The FA: http://www.twitter.com/fa
The England Football Team: http://www.twitter.com/england
Wembley Stadium: http://www.twitter.com/wembleystadium
The FA WSL: http://www.twitter.com/fawsl

FACEBOOK
The FA Cup: http://www.facebook.com/thefacup
The England Football Team: http://www.facebook.com/englandteam
The England Women’s Football Team: http://www.facebook.com/englandwomen
The FA WSL: http://www.facebook.com/fawsl
Wembley Stadium: http://www.facebook.com/wembleystadium

INSTAGRAM
The England Football Team: http://www.instagram.com/england","['The big smile on his face when he gets off the ground says it all 😂 what a baller!', 'I was in Wembley on this fateful day! What a guy!!', 'if he missed tho', 'Simplemente El Loco.', 'The most epic yet useless move in football!', 'You can not convince me he wasn’t high when he did that', 'People too hung up on it being a ""results game"". This is football🔥🔥', ""Who's here after Netflix upcoming documentary"", 'Rick James the legend', 'This is just perfect all these years later', 'G.O.A.T Saving ever ever... Incredible', ""VAR That's was over the line!!! 😁"", 'Recuerdo haber visto este partido cuando tenía dos mil días de haber nacido', 'higuita is second to none', 'I remember watching this game live on tv I was about 7 or 8', 'This is some main character energy right there', 'Let’s be honest that was not a shot it was a back pass', 'Back then when football was an ART, not only money', 'Bizde de qapıçı  Shahruddin var, üstüne gelen topu buraxır.']"
1,NQdDt_aLSpk,Keira's Dream Dinner Guests & Leah's Initiation Song? | Keira Walsh & Leah Williamson | Questions,"Keira Walsh and Leah Williamson sit down for a game of Questions, where we find out who Keira would invite to her ideal dinner party and what is Leah's pre-match meal choice!

SUBSCRIBE to ensure you don’t miss a video from the England YouTube channel. Hit the bell to get notifications on our latest uploads! 
► Subscribe: http://bit.ly/FATVSub
► Twitter: http://www.twitter.com/england
► Instagram: http://www.instagram.com/england
► Facebook: http://www.facebook.com/englandteam
► Twitch: https://www.twitch.tv/england
► TikTok: https://www.tiktok.com/@england","['Leah is so beautiful 😍', 'A pea?🤨😟', 'So sad not to see the captain world cup', '❤❤❤❤❤❤❤❤', 'It is so insane that there international careers r almost identical to each others 😂', '5:51 leah laughing <3', 'we’re they in the 2020 olympics?', 'Keira does look like Alyson Hannigan from American Pie! 😂', 'Leah Williamson is an angel!!!', 'I do that shin pads on the opposite leg', 'Beautiful 😍', 'For the movie question I think they were referring to Natasha Lyonne (I think)', 'Leah seems like such a nice person', 'Most extravagant thing ever eaten ""a pea""🤣🤣🤣💀', 'You can tell that Leah and Keira are really close', ""Keira answered more of Leah's questions than Leah. Funny thing is Leah let her."", 'Fingers as long as legs - would probably be too much even for lesbians! 🤣', '❤️Leah', 'Leah is so fit', '6:02 Oh Leah Williamson in The Crown would be very interesting! 👑🇬🇧']"
2,IFRygBxmCZA,David Beckham's best England goals | Top Five,"To celebrate David Beckham’s 40th birthday, we've put together five of his best goals in an England shirt. His goal against Wales or the free-kick against Greece? Or something else? Let us know your favourite in the comments below! 👇

The FA: thefa.com
Wembley Stadium: wembleystadium.com

TWITTER
The FA: twitter.com/fa
The England Football Team: twitter.com/england
Wembley Stadium: twitter.com/wembleystadium
The FA WSL: twitter.com/fawsl

FACEBOOK
The FA Cup: facebook.com/thefacup
The England Football Team: facebook.com/englandteam
The England Women’s Football Team: facebook.com/englandwomen
The FA WSL: facebook.com/fawsl
Wembley Stadium: facebook.com/wembleystadium

INSTAGRAM
The England Football Team: instagram.com/england","['Znakomity piłkarz 👍😊👏👏wielki talent 😊', 'Give that man a knighthood is the one of my favorite game calls ever', 'Bobby Charlton el Grande ha fallecido, que Dios lo tenga en sus BRAZOS, y la GLORIA ETERNA...Q.E.P.D.🙏🙏🙏...', 'whos here from after watching the doc', 'best footballer in the world. zlatan has nothing on him', 'Beckham has the ability to speak to the ball ❤', 'Knew we where it ends\n\nRemember our 91 mads', ""You guys didn't know what you had and then it was gone !"", 'He has got during altogether goals...maybe thıs is  all....', ""That goal against Greece was one of the best moments I've seen in football. Zero to hero with that magic right foot"", 'ill never forget watching that last  goal as long as i live....', 'When I was young , I really attracted by English Premiere league. The reason behind the scene was the one and only David Beckham. He was like a ""Maradona"" of English Team. He proved that he was the motivational part of any game those won by English Team. What a fantastic player he was!', '🎉su pasión desde dentro y fuera de la cancha mundial 2006 y 2010 dolieron. Grande Beckham7 el Lord7', 'Bravo !', 'Well done 7.', 'Going to Real madrid was his biggest mistake.', 'McManaman and Scholes in the mid was a great pairing.', 'That goal against greece is pure goosebumps', 'His technique was incredible and the goals one more beautiful than the other. At the time one of my absolute favorite players and idol', '🐐']"
3,_ADZMiZtzXk,Rashford's Worst Habit and Lingard's Sporting Hero | Lingard and Rashford | Roommates,"Jesse Lingard and Marcus Rashford go head-to-head in the latest edition of Roommates, as we find out Rashford's worst habit.

Subscribe to England: http://bit.ly/FATVSub

The FA: http://www.thefa.com
Wembley Stadium: http://www.wembleystadium.com

TWITTER
The FA: http://www.twitter.com/fa
The England Football Team: http://www.twitter.com/england
Wembley Stadium: http://www.twitter.com/wembleystadium
The FA WSL: http://www.twitter.com/fawsl

FACEBOOK
The FA Cup: http://www.facebook.com/thefacup
The England Football Team: http://www.facebook.com/englandteam
The England Women’s Football Team: http://www.facebook.com/englandwomen
The FA WSL: http://www.facebook.com/fawsl
Wembley Stadium: http://www.facebook.com/wembleystadium

INSTAGRAM
The England Football Team: http://www.instagram.com/england","['""The weather?"" 😂', 'Rahford😋', 'Amazing🔥 0:05', 'The wheezing laughter immediately after Lingard said ""You alright Neymar sunny innit"" had me dead. Made it ten times funnier 😂😂😂', 'Proud Mancunian here! 🙌😂 love these two! ❤', 'tHe wEaThO', 'Ayo Neymar it’s sunny innit', 'Nah dis was funnnyy this duo been funny 😂😂', '""Yo NeY SuNnY iNnIt?""', 'Yeah yeah 😂', '“Yo Neymar, sunny innit?”', 'Yo Neymar Sunny innit?', 'No no no no no the wever?! the wever?!😂😂😂😂', 'I’m sad to say that I bite my nails aswell 😞', 'The weva😂', '2:26', 'Hey neymar sunny init', 'am i the only one noticing rashy saying eveon instead of everton 4:41 😂😂😂', 'Sunny innit dude', '0:01😂😂😂😂', 'ENGLAND']"
4,Y3E2_PT7qcM,"""This Is Like The Last Day At The Etihad"" | Rice & Bronze v Williamson & Grealish | Back & Forth","Declan Rice & Lucy Bronze v Leah Williamson & Jack Grealish in our new England series called Back & Forth where each team will battle against each other to name the most words related to the category presented to them. Last person standing wins!

SUBSCRIBE to ensure you don’t miss a video from the England YouTube channel. Hit the bell to get notifications on our latest uploads! 
► Subscribe: http://bit.ly/FATVSub
► Twitter: http://www.twitter.com/england
► Instagram: http://www.instagram.com/england
► Facebook: http://www.facebook.com/englandteam
► Twitch: https://www.twitch.tv/england
► TikTok: https://www.tiktok.com/@england
► Web: https://www.englandfootball.com","['Can you do Aaron Ramsdale and Ellie Roebuck vs Sandy Maciver and Jordan Pickford next?', 'Leah Williamson is leng', '6:32 what did Jack say?', 'Do you feel an intelctual conversation developing!!!', 'i know who rice and grealish are  but who are those women????  i thought this was a football video?', 'Leah and jack at 8:19 ❤❤', 'Jack saying all the kiddy answers cracks me up', 'Speed Climbing and Skate boarding aint  Olympic Sport!!!', 'I watched this 4 the 10000000th time', 'Team socks pulled up as high as possible vs socks down low', 'Should have been leah and rice', 'Party Rings is genius', 'Love this', '❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️', 'I see 3 gooners in this video 👀', 'jack nose after treble celebration party would have been a great answer for Q2', 'Leah is a sort', 'Jack definitely likes leah ❤', '❤❤❤❤', '5:54 , 6:36 plss declan so freaking funny though😭😭😂']"
5,HT78QU4xxdc,Jill Scott Gives Us A Tour Inside The Lionesses Base Camp | Lionesses Cribs 🏠 | Inside Access,"Jill Scott gives us a mini tour around the Lionesses base camp featuring colouring in board, basketball hoops ( how Impressive was Jill's basketball skills), & the diary room.

Jill Scott took us for a tour around basecamp back when we first arrived at the Lensbury on ahead of our opening WEURO2022 group matches.

SUBSCRIBE to ensure you don’t miss a video from the England YouTube channel. Hit the bell to get notifications on our latest uploads! 
► Subscribe: http://bit.ly/FATVSub
► Twitter: http://www.twitter.com/england
► Instagram: http://www.instagram.com/england
► Facebook: http://www.facebook.com/englandteam
► Twitch: https://www.twitch.tv/england
► TikTok: https://www.tiktok.com/@england
► Web: https://www.englandfootball.com

#weuro2022 #lionesses #england","['Jill Scott took us for a tour around basecamp back when we first arrived at the Lensbury on ahead of our opening WEURO2022 group matches.', 'This Is Why I Love England Football Team Boys And Girls Women And Men🏴\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f🏴\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f🏴\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f🏴\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f😁😁😁😁😁💪💪💪💪💪❤️❤️❤️❤️ Because My Uncle Aunt And My Cuz (Brother And Sister) Is British And My Niece Be Going To Lionesses In The Future 🏴\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f💪❤️', '“HERE COMES A CHAMPION” made me laugh so hard Jill has got to be the most funniest there ever has and will be😂', '“Oh there are some sweets here aswell” “SHH”😂😂😂😂', 'How about Jill has the scott room because it snext the The Unitt room which is also the surname of Jill Fiancée Shelly!\nI know thats Rachel Unitts room', 'Who else is here from I am a Celebrity? 😅', '“i hope they did want us to sign that” 😭', 'HEMPO PLAYING TABLE TENNIS 😲', '1:26 Keira and Lucy 😘🥰', 'Not Keira and Lucy sitting together playing fire 🥰', '👍', 'now she can have her own scoot room 💪 what a legend', 'Shine on Ms. Scott... SHINE soooo Brite..⚽🤩....Beautifuls playing the ❤️ game', ""My fave part is Hemp and Bronze just ignoring her while she's shooting hoops hahahah"", 'How about a crib for a deek in your? Gets a man baby!!!! Gross thing.', 'What happened to Chloe kelly', 'She is a national treasure, and must be protected at all costs!', 'lucy and keira playing video games 😂', ""30p to play the basketball game? How long has it been since she went in an arcade? Just got back from Blackpool. You're lucky if you get a game for less than a pound now. I wouldn't mind but I have to be honest, I wouldn't pay a pound to watch me play the game, absolutely useless"", 'can you do a day in the life of the whole squad please, i love them..... before world cup if possible', 'Cute that the Scott and Unitt rooms are next to each other - even if they aren’t for Jill and Shelley 😌']"
6,knxd8TNvekI,"Mic Drops, New Celebrations and Bad Fashion 🎤 | Priya Chats to the Lionesses | Big Little Interview","7-year-old Priya joins the Lionesses in camp to chat with the players and find out how they're feeling ahead of Euro 2022. Find out who has the worst fashion sense in the squad, what Ellen White's new celebration could be, and what led to Lucy Bronze's mic drop!

SUBSCRIBE to ensure you don’t miss a video from the England YouTube channel. Hit the bell to get notifications on our latest uploads!
► Subscribe: http://bit.ly/FATVSub
► Twitter: http://www.twitter.com/england
► Instagram: http://www.instagram.com/england
► Facebook: http://www.facebook.com/englandteam
► Twitch: https://www.twitch.tv/england
► TikTok: https://www.tiktok.com/@england

#lionesses","['""do you feel one of the older players now?"" gagged lucy for a bit', ""'' I'm not old '' bahahahahah i love Lucy 😂❤"", 'Lucy 😂😂😂 im not old', ""I love Lucy so much. She's amazing."", ""Does she grow up to be a journalist? she surely have the talent for it. But because of her interest, I can see a future footballer too, if she's a bit lazy she can be a goalie :)"", 'This kid 😂', 'Girl was roasting fran 😂😂😂😊', 'You guys need to have her do this again before the World Cup. The cutest!', ""Can't beat Mary with kids.... She's my favourite ❤"", 'It’s about time you have a new celebration. It’s like saying Ronaldo needs a new celebration', 'Wow amazing ⚽', 'i love the lionesses my favs are toone williamson and russo and jill scott', 'They are all so sweet with this little girl and it’s the cutest thing ever', 'You guys are the best team I have seen in my life', ""She's SOOO cute. Better than Josh. Loved her top. And fearlessness. BRING HER BACK FOR THE WORLDS!"", 'Children are always cute.... Tony cuenca', ""The way she asked Fran if she'd stopped growing 🤣🤣"", 'I love Lucy bronze so much!', 'have you stopped growing 😭😭😭', 'I LOVE how everyone talks!.. love from So California ❤️']"
7,mAakjn10qfI,"""How Am I Getting Slower Every Year?!"" | Grealish & Rice | FIFA Flashback","England's Jack Grealish and Declan Rice react to their old FIFA ratings as they go through the years until their latest FIFA 22 rating. Did you think Grealish and Rice got fair ratings? Let us know in the comments below! 👇

SUBSCRIBE to ensure you don’t miss a video from the England YouTube channel. Hit the bell to get notifications on our latest uploads! 

► Subscribe: http://bit.ly/FATVSub
► Twitter: http://www.twitter.com/england
► Instagram: http://www.instagram.com/england
► Facebook: http://www.facebook.com/englandteam
► Twitch: https://www.twitch.tv/england
► TikTok: https://www.tiktok.com/@england","['It’s fair to say Declan deserves an upgrade on his shooting! 💪', 'Jack was absolute buzzing about his card', ""on declan rice's first fifa card he looks like thogden(a football youtuber)"", '“a hundred million pound mate” ayyy look who’s talkin now😎', ""Now they're both 100m pounds"", '❤❤', 'WWE fan alert 7:06', '""100 million pound mate"" you can say that about yourself now Declan!', 'fifa 19 rice looks like foldant', 'Declan ""100M Pound mate"" Now look at ya ...105M pound lol!!', ""Little did he know he'd also be a £100m player as well, LOL. 🤍❤️"", '5:01 “100 million pound mate” Decs you’re about to be 105mil😭', 'Rice you look like Foden', ""Rice's gold and silver card look like phill foden! XD"", 'Both grealish and rice are traitors to the Irish', 'How did i not know that jack grealish aas irish, im irish', 'Why have they got Irish flags on', 'Jack do you play fifa because I do😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀', 'No way rice is the same level as Nunez', 'Is Jack a villa fan', 'England all the best team in the world']"
8,wqsTRocBqgg,"""Simon Cowell Sign Me Up!"" 🎤 | Daly & Bright React to Lionesses Clips | England Reacts","Racel Daly and Millie Bright sit down to watch through some of their best Lionesses moments. Featuring some watermelon keepy-up, WWE moves and some car karaoke!

SUBSCRIBE to ensure you don’t miss a video from the England YouTube channel. Hit the bell to get notifications on our latest uploads! 
► Subscribe: http://bit.ly/FATVSub
► Twitter: http://www.twitter.com/england
► Instagram: http://www.instagram.com/england
► Facebook: http://www.facebook.com/englandteam
► Twitch: https://www.twitch.tv/england
► TikTok: https://www.tiktok.com/@england","['We need this so much 😂. I love Millie and Rach', 'I love them so much 😂😂', 'Daly Dose of Brightness bahahahahaha', 'These two I love them', '“hopefully we don’t annoy too many people..” “we do.” i love these 2', 'Rachel needs to fill your side gap.', '6:15 \n-Hopefully we don’t annoy too many people\n*-We do*', ""Hi Millie you're so different to I hope you don't mind if we're not the same stand. Bees attracts always to the best flowers"", ""I'm out now. Tell others specially to be Ellen."", 'No wonder that red card was sent. You make me laugh.', 'Nice to see you guys. You make me laugh.', 'When was the 2nd pool video filmed', 'Why do we see the men in new gear, new training kits, new shirts.. yet the Lionesses are STILL in the awful purple training kits and playing in the old shirts... after how many years? Look at the USA all kitted out and looking up to date. Please sort it out, we are so behind.', 'this is legit friendship goals.', 'Leeds United', 'Miniminter', 'Aool theeee best! Is that english?', 'bees in england... ask your prez if he can help.. you are bi** already', 'beers rather?', 'You will the polar bears']"
9,8t2qXxWbUvY,"Lucy Bronze Chats Tiktok, Deserted Island Teammate & Saxophone Hidden Talent 🎷 | Off The Pitch","Lucy Bronze joins Josh Denzel to take a walk around St George's Park and answers some questions, but with one rule - no football chat! Get to know her Tiktok obsession, who would accompany Lucy Bronze on a Deserted Island & her hidden Saxophone skills! 

SUBSCRIBE to ensure you don’t miss a video from the England YouTube channel. Hit the bell to get notifications on our latest uploads! 
► Subscribe: http://bit.ly/FATVSub
► Twitter: http://www.twitter.com/england
► Instagram: http://www.instagram.com/england
► Facebook: http://www.facebook.com/englandteam
► Twitch: https://www.twitch.tv/england
► TikTok: https://www.tiktok.com/@england

#England #Lionesses","['""sound, lets strech yhe dog"" absolutely killed me hahahah', '“If I went with someone like, like Georgia we would argue about who was doing it right so I need to go with someone who’s just gonna let me be right” 😂 Love these girls sm, they never fail to put a smile on your face ♥️🤍', 'Lucy es una idola 👏 es talentosa, muy divertida que  bonita personalidad  💕🫶', 'she says sound a lot 😭', '7:51 what you came here for', 'Lucy fantastica defensa!', 'She’s just so cool, charming and laidback', 'Lucy Bronze - easily the best smile in football', ""Lucy comes across as such a cool normal person. She's a proper footballer too"", '10/10 person is Lucy Bronze 💛💛', 'Lucy bronze!!!!!', 'Love this 💕', 'Seems lovely person and very talented', '“DONT GET UP WAIT FOR IT. ITS COMMING I PROMISE!” Love Lucy bronze she my idol', 'need to see the stanway toone contemporary dance haha', 'Nice', 'I love lucy, heart and soul of this England team.', ""Lucy's funny xD"", 'Ela é muito elegante jogando futebol 👏👏', 'Lucy is Portuguese']"
