,0
0,
1,it gon na great see ayoka back court
2,wooh surpriseshe speaks english
3,nice
4,college really b beast get better physical condition
5,liberty ace final let go
6,ref world wan na act like underdog underdog won congratulation ace
7,shoot
8,dominant paint shoot three pull rebound
9,absolute champion
10,future goat
11,the wnba
12,grounded young person it easy root kid best luck whatever decide life
13,thanks update ayoka great mn connection
14,sprint court make basket nearly perfect center need patient let game develop
15,really glad coach green illinois go illini
16,great episodekeep great job promoting sport
17,love wbb journalism thanks reporting
18,power tower han xun
19,the wnbawnbapa owner agree next cba allow signing bonus 200000 800000 counted towards salary cap besides base salary
20,she overrated potential coach there push hire woman
21,wrong move mgmnt 2 fire vj given 2 season team 2 grow arike injury played major part loss 2 sun thats dallas series 2 win 1 effectively ready 2 step place arike mccowan physical condition 2 play minute time play lazy
22,easy team room ayoka lee sometimes big girl ranked high enough ayoka lee transferred
23,shed right top old school center many around
24,balled out dont humble talk yo sht
25,marina rfa hopefully sign elsewhere guaranteed point guard spotarike become better team player dallas franchise doomed thru life contract 7 23 field night occur way oftenshe 6th player bench coach put therecolier overrated college simply horrible pick draftnext coach need sabally healthy mccowan starting every game endurance part wa demand improve ft 5 year watching team mishandle management coaching tighten up
26,remarkable watch tv too history
27,why ask play defense
28,maybe shell get drafted lynx hopeful thought great comeback season
29,several school would instantly become title threat her underrated even though dropped 50 couple year ago 1015 team theyre decent team ayoka lee would make serious threat iowa good
30,any player score 41 point allowed referee crew allow push every time ball
31,the first man ever exited woman basketball
32,wow
33,unfortunately shoulder load ksu w little talent surronding likeliness reinjury high
34,aye congrats
35,when villain play victim yall talked smack whole season leaned super team narrative
36,shes adorable go han xu
37,let celebrate ace
38,and 8 second brianna double dribble call it
39,lesbian black woman job coaching front office
40,the reporter speaks english translator responds english point translator
41,shes great lucky you
42,what nice
43,damn
44,popular topic 333 view day
45,congratulation wsu wbb team ill definitely rooting tournament beyond
46,pas guard
47,got ta get player play better defense game line
48,who
49,coach
50,go han
51,talented player
52,my favorite teamcongrats campeonas
53,what breath fresh air show is
54,n didnt went nowhere next game
55,let go liberty
56,han xu amazing player big fast
57,would liked seen transfer talent rich team better support like sc
58,what beautiful person sue is inside out
59,heck ya
60,ayoka lee transfer talented able compete national championship
61,we love han xu
62,got help support medium
63,the silence deafening
64,add ayoka lee iowa sudden caitlin clark score 40 pt ayoka lee give 1520 pt night
65,alysha clark put stevie lockdown
