,Unnamed: 0,0,sentiment
1,1,it gon na great see ayoka back court,positive
3,3,nice,positive
4,4,college really b beast get better physical condition,positive
5,5,liberty ace final let go,positive
6,6,ref world wan na act like underdog underdog won congratulation ace,positive
9,9,absolute champion,positive
12,12,grounded young person it easy root kid best luck whatever decide life,positive
13,13,thanks update ayoka great mn connection,positive
14,14,sprint court make basket nearly perfect center need patient let game develop,positive
15,15,really glad coach green illinois go illini,positive
16,16,great episodekeep great job promoting sport,positive
17,17,love wbb journalism thanks reporting,positive
19,19,the wnbawnbapa owner agree next cba allow signing bonus 200000 800000 counted towards salary cap besides base salary,positive
21,21,wrong move mgmnt 2 fire vj given 2 season team 2 grow arike injury played major part loss 2 sun thats dallas series 2 win 1 effectively ready 2 step place arike mccowan physical condition 2 play minute time play lazy,positive
22,22,easy team room ayoka lee sometimes big girl ranked high enough ayoka lee transferred,positive
23,23,shed right top old school center many around,positive
25,25,marina rfa hopefully sign elsewhere guaranteed point guard spotarike become better team player dallas franchise doomed thru life contract 7 23 field night occur way oftenshe 6th player bench coach put therecolier overrated college simply horrible pick draftnext coach need sabally healthy mccowan starting every game endurance part wa demand improve ft 5 year watching team mishandle management coaching tighten up,positive
26,26,remarkable watch tv too history,positive
27,27,why ask play defense,positive
28,28,maybe shell get drafted lynx hopeful thought great comeback season,positive
30,30,any player score 41 point allowed referee crew allow push every time ball,positive
32,32,wow,positive
34,34,aye congrats,positive
35,35,when villain play victim yall talked smack whole season leaned super team narrative,positive
36,36,shes adorable go han xu,positive
37,37,let celebrate ace,positive
41,41,shes great lucky you,positive
42,42,what nice,positive
44,44,popular topic 333 view day,positive
45,45,congratulation wsu wbb team ill definitely rooting tournament beyond,positive
47,47,got ta get player play better defense game line,positive
51,51,talented player,positive
52,52,my favorite teamcongrats campeonas,positive
53,53,what breath fresh air show is,positive
55,55,let go liberty,positive
56,56,han xu amazing player big fast,positive
57,57,would liked seen transfer talent rich team better support like sc,positive
58,58,what beautiful person sue is inside out,positive
60,60,ayoka lee transfer talented able compete national championship,positive
61,61,we love han xu,positive
62,62,got help support medium,positive
